code,country,population,remittance2017,gdp2016
MOZ,Mozambique,954042,50.93,14798439527.00
MMR,Myanmar,2947287,723.46,59687373958.00
NAM,Namibia,192392,43.07,11571141027.00
NPL,Nepal,2005848,6946.53,21410840909.00
NLD,Netherlands,1019145,1405.72,758000000000.00
NCL,New Caledonia,6946,641.72,
NZL,New Zealand,810169,297.43,176000000000.00
NIC,Nicaragua,629892,1395.2,12747741540.00
NER,Niger,383917,197.76,7217666361.00
NGA,Nigeria,1309063,21967.24,481000000000.00
MNP,Northern Mariana Islands,10202,0,933000000.00
NOR,Norway,190350,614.05,387000000000.00
OMN,Oman,26241,40.44,69831770871.00
PAK,Pakistan,6098502,19664.6,271000000000.00
PLW,Palau,5959,2.43,297645400.00
PAN,Panama,133525,533,52132289700.00
PNG,Papua New Guinea,40862,2.92,21060901604.00
PRY,Paraguay,895988,732.02,27282581336.00
PER,Peru,1487776,3039.12,189000000000.00
PHL,Philippines,5970193,32807.76,293000000000.00
POL,Poland,4294300,6805.3,477000000000.00
PRT,Portugal,2289642,4811.15,199000000000.00
PRI,Puerto Rico,1935897,0,103000000000.00
QAT,Qatar,27270,668.43,165000000000.00
ROU,Romania,3662849,4943.64,178000000000.00
RUS,Russian Federation,10961164,8026.31,1370000000000.00
RWA,Rwanda,606728,180.57,8261034258.00
WSM,Samoa,134757,142.85,803985809.20
SMR,San Marino,3303,0,1569258068.00
STP,Sao Tome and Principe,84766,18.89,315880811.10
SAU,Saudi Arabia,313824,286.51,652000000000.00
SEN,Senegal,643640,2237.7,13640668374.00
SRB,Serbia,1014577,3587.97,37160332465.00
SYC,Seychelles,37935,23.59,1437722206.00
SLE,Sierra Leone,374691,49.25,4251869870.00
SGP,Singapore,337924,0,297000000000.00
SXM,Sint Maarten (Dutch part),27332,64.27,
SVK,Slovak Republic,612186,2100.49,87501423882.00
SVN,Slovenia,171202,406.5,43072415017.00
SLB,Solomon Islands,4248,19.96,1129164719.00
SOM,Somalia,2032921,0,5925000000.00
ZAF,South Africa,934364,898.1,318000000000.00
SSD,South Sudan,2018258,0,9015221096.00
ESP,Spain,1453098,10692.02,1200000000000.00
LKA,Sri Lanka,1728372,7189.87,80611989527.00
KNA,St. Kitts and Nevis,40612,10.63,878281507.80
LCA,St. Lucia,58521,32.13,1649142630.00
MAF,St. Martin (French part),6,0,
VCT,St. Vincent and the Grenadines,57344,41.67,755205755.90
SDN,Sudan,2019643,177.21,97156119150.00
SUR,Suriname,263788,6.71,4826587058.00
SWZ,Swaziland,94196,113.88,4020275298.00
SWE,Sweden,312761,2819.43,498000000000.00
CHE,Switzerland,644174,2488.14,679000000000.00
SYR,Syrian Arab Republic,7776231,1622.54,
TJK,Tajikistan,638249,2219.7,7853450374.00
TZA,Tanzania,322830,435.02,45628320606.00
THA,Thailand,993253,6728.65,399000000000.00
TLS,Timor-Leste,38235,85.17,1606500000.00
TGO,Togo,524460,402.14,4087628276.00
TON,Tonga,62226,145.89,435438217.30
TTO,Trinidad and Tobago,371785,150.4,23559224762.00
TUN,Tunisia,785623,1903.37,43156708809.00
TUR,Turkey,3037921,1045.05,860000000000.00
TKM,Turkmenistan,258256,10.31,35799628571.00
TCA,Turks and Caicos Islands,3116,0,
TUV,Tuvalu,4468,4.3,32673277.74
UGA,Uganda,775892,1374.88,27059447775.00
UKR,Ukraine,5995314,7894.54,91030959455.00
ARE,United Arab Emirates,180090,0,358000000000.00
GBR,United Kingdom,4820072,4373.93,2890000000000.00
USA,United States,3034407,6621,18100000000000.00
URY,Uruguay,351045,100.11,53274304215.00
UZB,Uzbekistan,2071103,2838.69,66903804143.00
VUT,Vanuatu,9269,19.38,742432131.00
VEN,Venezuela. RB,774208,293.28,
VNM,Vietnam,2694270,13780.8,193000000000.00
VIR,Virgin Islands (U.S.),4660,0,3765000000.00
PSE,West Bank and Gaza,3857805,2033.5,12673000000.00
YEM,Yemen. Rep.,1221130,3350.5,37733919936.00
ZMB,Zambia,278355,42.18,21154394546.00
ZWE,Zimbabwe,738198,0,16304667807.00
